ObservationDate,Country/Region,Confirmed,Deaths,Recovered
02/12/2020,Sweden,1.0,0.0,0.0
02/12/2020,Taiwan,18.0,0.0,1.0
02/12/2020,Thailand,33.0,0.0,10.0
02/12/2020,UK,9.0,0.0,1.0
02/12/2020,US,13.0,0.0,3.0
02/12/2020,United Arab Emirates,8.0,0.0,1.0
02/12/2020,Vietnam,15.0,0.0,6.0
02/13/2020,Australia,15.0,0.0,8.0
02/13/2020,Belgium,1.0,0.0,0.0
02/13/2020,Cambodia,1.0,0.0,1.0
02/13/2020,Canada,7.0,0.0,1.0
02/13/2020,Finland,1.0,0.0,1.0
02/13/2020,France,11.0,0.0,2.0
02/13/2020,Germany,16.0,0.0,1.0
02/13/2020,Hong Kong,53.0,1.0,1.0
02/13/2020,India,3.0,0.0,0.0
02/13/2020,Italy,3.0,0.0,0.0
02/13/2020,Japan,28.0,1.0,9.0
02/13/2020,Macau,10.0,0.0,3.0
02/13/2020,Mainland China,59832.0,1368.0,6213.0
02/13/2020,Malaysia,19.0,0.0,3.0
02/13/2020,Nepal,1.0,0.0,1.0
02/13/2020,Others,175.0,0.0,0.0
02/13/2020,Philippines,3.0,1.0,1.0
02/13/2020,Russia,2.0,0.0,2.0
02/13/2020,Singapore,58.0,0.0,15.0
02/13/2020,South Korea,28.0,0.0,7.0
02/13/2020,Spain,2.0,0.0,0.0
02/13/2020,Sri Lanka,1.0,0.0,1.0
02/13/2020,Sweden,1.0,0.0,0.0
02/13/2020,Taiwan,18.0,0.0,1.0
02/13/2020,Thailand,33.0,0.0,12.0
02/13/2020,UK,9.0,0.0,1.0
02/13/2020,US,15.0,0.0,3.0
02/13/2020,United Arab Emirates,8.0,0.0,1.0
02/13/2020,Vietnam,16.0,0.0,7.0
02/14/2020,Australia,15.0,0.0,8.0
02/14/2020,Belgium,1.0,0.0,0.0
02/14/2020,Cambodia,1.0,0.0,1.0
02/14/2020,Canada,7.0,0.0,1.0
02/14/2020,Egypt,1.0,0.0,0.0
02/14/2020,Finland,1.0,0.0,1.0
02/14/2020,France,11.0,0.0,2.0
02/14/2020,Germany,16.0,0.0,1.0
02/14/2020,Hong Kong,56.0,1.0,1.0
02/14/2020,India,3.0,0.0,0.0
02/14/2020,Italy,3.0,0.0,0.0
02/14/2020,Japan,29.0,1.0,9.0
02/14/2020,Macau,10.0,0.0,3.0
02/14/2020,Mainland China,66292.0,1520.0,7973.0
02/14/2020,Malaysia,19.0,0.0,3.0
02/14/2020,Nepal,1.0,0.0,1.0
02/14/2020,Others,218.0,0.0,0.0
02/14/2020,Philippines,3.0,1.0,1.0
02/14/2020,Russia,2.0,0.0,2.0
02/14/2020,Singapore,67.0,0.0,17.0
02/14/2020,South Korea,28.0,0.0,7.0
02/14/2020,Spain,2.0,0.0,0.0
02/14/2020,Sri Lanka,1.0,0.0,1.0
02/14/2020,Sweden,1.0,0.0,0.0
02/14/2020,Taiwan,18.0,0.0,2.0
02/14/2020,Thailand,33.0,0.0,12.0
02/14/2020,UK,9.0,0.0,1.0
02/14/2020,US,15.0,0.0,3.0
02/14/2020,United Arab Emirates,8.0,0.0,1.0
02/14/2020,Vietnam,16.0,0.0,7.0
02/15/2020,Australia,15.0,0.0,8.0
02/15/2020,Belgium,1.0,0.0,0.0
02/15/2020,Cambodia,1.0,0.0,1.0
02/15/2020,Canada,7.0,0.0,1.0
02/15/2020,Egypt,1.0,0.0,0.0
02/15/2020,Finland,1.0,0.0,1.0
02/15/2020,France,12.0,1.0,4.0
02/15/2020,Germany,16.0,0.0,1.0
02/15/2020,Hong Kong,56.0,1.0,1.0
02/15/2020,India,3.0,0.0,0.0
02/15/2020,Italy,3.0,0.0,0.0
02/15/2020,Japan,43.0,1.0,12.0
02/15/2020,Macau,10.0,0.0,3.0
02/15/2020,Mainland China,68347.0,1662.0,9294.0
02/15/2020,Malaysia,22.0,0.0,7.0
